AGE_GROUP,AGE_GROUP_AVG_TIME,AGE_GROUP_COUNT,YEAR
10,,0.0,1977.0
15,5.5715,12.0,1977.0
20,5.84263157895,38.0,1977.0
25,5.79408,50.0,1977.0
30,5.90024324324,37.0,1977.0
35,6.03245,20.0,1977.0
40,5.7442,15.0,1977.0
45,6.57866666667,6.0,1977.0
50,5.83233333333,6.0,1977.0
55,6.16875,4.0,1977.0
60,,0.0,1977.0
65,7.0,1.0,1977.0
70,,0.0,1977.0
75,,0.0,1977.0
10,6.307,1.0,1978.0
15,5.74641176471,17.0,1978.0
20,5.74739534884,43.0,1978.0
25,5.52696363636,55.0,1978.0
30,5.59670909091,55.0,1978.0
35,5.72864583333,48.0,1978.0
40,5.99747058823,17.0,1978.0
45,5.96042857143,7.0,1978.0
50,6.3045,8.0,1978.0
55,6.5366,5.0,1978.0
60,6.847,2.0,1978.0
65,,0.0,1978.0
70,8.084,1.0,1978.0
75,,0.0,1978.0
10,5.265,2.0,1979.0
15,5.3195,8.0,1979.0
20,5.727,16.0,1979.0
25,5.67890566038,53.0,1979.0
30,5.6727,60.0,1979.0
35,5.801640625,64.0,1979.0
40,6.15351612903,31.0,1979.0
45,6.76666666667,3.0,1979.0
50,6.31835714286,14.0,1979.0
55,6.9835,4.0,1979.0
60,7.57633333333,6.0,1979.0
65,6.721,1.0,1979.0
70,,0.0,1979.0
75,,0.0,1979.0
10,7.38733333333,3.0,1980.0
15,5.50790909091,11.0,1980.0
20,5.47261538462,26.0,1980.0
25,5.47151020408,49.0,1980.0
30,5.53855128205,78.0,1980.0
35,5.93248837209,86.0,1980.0
40,6.24182608696,46.0,1980.0
45,6.28658333333,24.0,1980.0
50,6.50111764706,17.0,1980.0
55,7.459125,8.0,1980.0
60,6.636,3.0,1980.0
65,6.89766666667,3.0,1980.0
70,,0.0,1980.0
75,,0.0,1980.0
10,7.90125,4.0,1981.0
15,5.47075,16.0,1981.0
20,5.41922580645,31.0,1981.0
25,5.22016949152,59.0,1981.0
30,5.45097029703,101.0,1981.0
35,5.80514444444,90.0,1981.0
40,5.82158208955,67.0,1981.0
45,6.25808333333,24.0,1981.0
50,6.86304545455,22.0,1981.0
55,6.573,10.0,1981.0
60,7.2976,5.0,1981.0
65,6.93266666667,6.0,1981.0
70,,0.0,1981.0
75,,0.0,1981.0
10,7.341,2.0,1982.0
15,6.07733333333,9.0,1982.0
20,5.796925,40.0,1982.0
25,5.49684057971,69.0,1982.0
30,5.77760185185,108.0,1982.0
35,6.00366666667,96.0,1982.0
40,6.02497142857,70.0,1982.0
45,6.21215384615,26.0,1982.0
50,6.62725,20.0,1982.0
55,7.2812,10.0,1982.0
60,6.8402,5.0,1982.0
65,7.7048,5.0,1982.0
