TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
,,,5.069,8.988999999999999,9.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.307,7.4910000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.307,5.461,7.8660000000000005,7.5135000000000005,7.340999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.018,6.081,6.160500000000001,,5.941,5.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.15425,5.3385,4.982,5.138999999999999,5.5785,5.7795,6.7379999999999995,5.511,,,,5.66,,6.6419999999999995,8.818,8.509,,6.151,,6.757999999999999,7.669,7.997999999999999,6.069249999999999,,,,,9.158,,,,,,,,,,,,,7.524
5.227333333333333,5.426749999999999,5.411333333333332,5.251333333333332,,6.110333333333333,5.961,4.901,7.3225,5.88,,,5.148,6.254,7.24,7.001,5.159,,5.892,,7.293666666666667,,,5.510666666666666,,,7.7,,,8.327,,,,,5.553,,,6.2195,,,
5.8548,5.610333333333333,3.949,5.136,5.493399999999999,5.17175,,6.675,5.023,7.377999999999999,,6.891,5.494,6.805,5.8285,,6.829,,5.288,5.404,,6.642,7.4605,,,,7.796,6.379,,,6.902,,7.643,7.331999999999999,6.7044999999999995,,7.513999999999999,9.033999999999999,6.093999999999999,9.332,5.228
5.7532000000000005,5.781000000000001,5.985250000000001,6.249,5.3406666666666665,5.1694,5.8596,6.1054,5.639833333333333,6.267,5.55,,5.5675,,,5.952500000000001,6.206,5.946000000000001,5.334,6.106,6.131,,6.1396,,5.763999999999999,6.48,6.587999999999999,,8.787,7.255,,7.1475,,,,,6.398,4.8655,,5.9510000000000005,
5.722333333333334,6.068428571428571,6.104857142857143,5.6594999999999995,6.080500000000001,5.540333333333333,5.594428571428572,6.100249999999999,6.0272,6.1475,5.316,,5.9510000000000005,5.11,,5.675,6.20125,5.279,7.256,5.532666666666667,,4.945,7.416,6.178,,5.309,6.346,6.902,7.188750000000001,6.9085,,,6.6370000000000005,6.244,5.36,,,6.791,5.032666666666667,5.129,
5.554166666666667,5.460285714285713,5.983,5.581333333333333,5.452500000000001,5.6675,6.164125,5.86075,6.0608,5.781,5.015000000000001,6.295999999999999,6.596,5.880599999999999,6.102333333333334,5.877000000000001,5.9115,5.9864999999999995,6.121499999999999,7.5360000000000005,,7.726,5.213333333333334,6.898,5.695666666666667,,5.504333333333332,6.583777777777779,8.797,9.067,7.367999999999999,6.637499999999999,4.537,6.832333333333334,,4.736000000000001,6.89,6.37575,5.4479999999999995,6.149199999999999,5.08
5.398333333333333,5.9405,5.818923076923077,6.583500000000001,5.835166666666666,5.035777777777778,6.011285714285714,5.707750000000001,5.7414000000000005,5.8373333333333335,5.785,5.904,5.7328,6.065333333333332,6.029,5.6805,5.391,5.9239999999999995,6.475200000000001,8.204500000000001,6.773250000000001,4.9215,,5.2364,6.337000000000001,7.1195,5.4677500000000006,,6.627,,7.163799999999999,9.179,6.445,4.513999999999999,7.4215,9.411,4.702,7.212,5.916,6.284,5.59475
5.483750000000001,5.635375,5.3451,5.219,5.494,5.717333333333333,5.503375,5.407125,5.356000000000001,6.486000000000001,5.677333333333333,,5.43675,5.792,5.6496666666666675,5.377,6.166333333333333,6.674333333333334,7.08425,6.0935,4.019,5.761,5.582666666666667,5.58675,5.532,5.686,6.516666666666667,7.497999999999999,,6.930000000000001,,7.136571428571429,7.225,5.468999999999999,6.193666666666668,6.375500000000001,5.838333333333334,,6.1323333333333325,6.186666666666667,
5.204125000000001,6.0889999999999995,5.674,5.3594,4.990142857142857,5.540454545454545,5.729699999999999,5.130666666666667,5.519333333333334,6.412400000000001,6.007999999999999,6.167714285714287,5.3244444444444445,6.059,6.582,6.4628,5.072,5.765000000000001,6.311999999999999,4.8085,6.6111249999999995,5.149,6.3655,6.3794,6.3655,6.123333333333334,6.113499999999999,6.697,6.215333333333334,6.939,5.9876249999999995,7.221000000000001,7.258333333333333,6.6122499999999995,7.18575,5.656333333333333,7.664,5.247999999999999,5.63,7.781499999999999,6.995
4.7774,5.455454545454545,5.6449,6.216,5.0965,5.043,5.504,5.522333333333332,5.617000000000001,5.5504375,5.770333333333333,5.391666666666667,5.795357142857143,5.4534,5.663125,5.575,6.981000000000001,5.729285714285714,5.8905,5.71675,5.6455,7.322399999999999,7.6488,5.5285,5.8340000000000005,6.279,5.707333333333334,6.460999999999999,5.550857142857143,6.155,6.6370000000000005,6.2606666666666655,5.161666666666666,7.456799999999999,6.630999999999999,8.093399999999999,6.8427500000000006,6.19625,6.621666666666666,5.914,8.16
5.788,6.620142857142858,5.279181818181819,5.724444444444445,5.905571428571428,5.194818181818182,5.2605,5.840894736842106,5.254615384615385,5.455,5.1773333333333325,5.981,5.7571,5.239333333333334,5.714,5.623142857142857,6.186249999999999,6.956,6.086666666666667,5.718571428571429,6.1508,6.1326,7.346333333333334,7.178375,6.644625,7.7973333333333334,7.0927999999999995,6.405800000000001,6.27675,6.143285714285715,6.974799999999999,6.910384615384616,5.822,5.855999999999999,6.703900000000002,6.51325,6.952600000000001,5.5576,6.678571428571429,6.176,6.833000000000001
5.530125,5.793416666666666,5.730923076923077,5.512846153846154,5.4455,5.104799999999999,5.7042,5.5800526315789485,5.747055555555557,5.526909090909091,5.533538461538461,4.7865714285714285,5.683,5.520333333333332,5.838272727272727,6.472166666666666,5.9702,6.6455,5.9322727272727285,5.728800000000001,5.899,6.406249999999999,6.000400000000001,6.392666666666666,6.83,5.468249999999999,7.086142857142858,6.828714285714286,6.574857142857143,6.40625,5.77,6.871,6.591374999999999,5.692199999999999,6.468583333333332,6.886750000000001,6.4113,6.177090909090908,6.1872727272727275,6.575333333333333,6.971749999999999
5.162142857142858,6.025375,5.504733333333333,5.408166666666667,5.846857142857142,5.334214285714287,5.493222222222222,5.7369130434782605,6.03690476190476,5.721818181818182,5.609285714285714,5.0518,5.249285714285714,5.488307692307692,5.7874285714285705,5.941777777777777,5.668727272727273,6.777181818181819,6.085625,5.802875,6.434999999999999,6.243615384615386,6.726333333333334,5.755875,5.9356,7.603624999999999,6.170833333333333,6.438,6.834250000000001,6.394333333333333,5.898499999999999,7.220066666666667,5.895,6.5581000000000005,4.378,5.600181818181818,6.274,5.698888888888889,6.214777777777778,6.6659999999999995,7.182300000000001
